"name","object_id","principal_id","schema_id","parent_object_id","type","type_desc","create_date","modify_date","is_ms_shipped","is_published","is_schema_published","lob_data_space_id","filestream_data_space_id","max_column_id_used","lock_on_bulk_load","uses_ansi_nulls","is_replicated","has_replication_filter","is_merge_published","is_sync_tran_subscribed","has_unchecked_assembly_data","text_in_row_limit","large_value_types_out_of_row","is_tracked_by_cdc","lock_escalation","lock_escalation_desc","is_filetable","is_memory_optimized","durability","durability_desc","temporal_type","temporal_type_desc","history_table_id","is_remote_data_archive_enabled","is_external","history_retention_period","history_retention_period_unit","history_retention_period_unit_desc","is_node","is_edge"
"AutomationEvents","594101157","","1","0","U ","USER_TABLE","11/7/2019 9:59:39 PM","11/7/2019 9:59:39 PM","False","False","False","1","","6","False","True","False","False","False","False","False","0","False","False","0","TABLE","False","False","0","SCHEMA_AND_DATA","0","NON_TEMPORAL_TABLE","","False","False","","","","False","False"
"AutomationILogger","626101271","","1","0","U ","USER_TABLE","11/7/2019 9:59:39 PM","11/7/2019 9:59:39 PM","False","False","False","1","","6","False","True","False","False","False","False","False","0","False","False","0","TABLE","False","False","0","SCHEMA_AND_DATA","0","NON_TEMPORAL_TABLE","","False","False","","","","False","False"
"ImportHistory","658101385","","1","0","U ","USER_TABLE","11/7/2019 9:59:39 PM","11/7/2019 9:59:39 PM","False","False","False","0","","4","False","True","False","False","False","False","False","0","False","False","0","TABLE","False","False","0","SCHEMA_AND_DATA","0","NON_TEMPORAL_TABLE","","False","False","","","","False","False"
"ArchiveHistory","690101499","","1","0","U ","USER_TABLE","11/7/2019 9:59:39 PM","11/7/2019 9:59:39 PM","False","False","False","1","","6","False","True","False","False","False","False","False","0","False","False","0","TABLE","False","False","0","SCHEMA_AND_DATA","0","NON_TEMPORAL_TABLE","","False","False","","","","False","False"
"ConfigurationSettings","722101613","","1","0","U ","USER_TABLE","11/7/2019 9:59:39 PM","11/7/2019 9:59:39 PM","False","False","False","1","","9","False","True","False","False","False","False","False","0","False","False","0","TABLE","False","False","0","SCHEMA_AND_DATA","0","NON_TEMPORAL_TABLE","","False","False","","","","False","False"
"CostcoReportData","754101727","","1","0","U ","USER_TABLE","11/7/2019 9:59:39 PM","11/7/2019 9:59:39 PM","False","False","False","0","","3","False","True","False","False","False","False","False","0","False","False","0","TABLE","False","False","0","SCHEMA_AND_DATA","0","NON_TEMPORAL_TABLE","","False","False","","","","False","False"
"EmailDistro","770101784","","1","0","U ","USER_TABLE","11/7/2019 9:59:39 PM","11/7/2019 9:59:39 PM","False","False","False","1","","5","False","True","False","False","False","False","False","0","False","False","0","TABLE","False","False","0","SCHEMA_AND_DATA","0","NON_TEMPORAL_TABLE","","False","False","","","","False","False"
"ReportMaster","802101898","","1","0","U ","USER_TABLE","11/7/2019 9:59:39 PM","11/7/2019 9:59:39 PM","False","False","False","1","","11","False","True","False","False","False","False","False","0","False","False","0","TABLE","False","False","0","SCHEMA_AND_DATA","0","NON_TEMPORAL_TABLE","","False","False","","","","False","False"
"ReportHistory","834102012","","1","0","U ","USER_TABLE","11/7/2019 9:59:39 PM","11/7/2019 9:59:39 PM","False","False","False","1","","5","False","True","False","False","False","False","False","0","False","False","0","TABLE","False","False","0","SCHEMA_AND_DATA","0","NON_TEMPORAL_TABLE","","False","False","","","","False","False"
"TaskMaster","866102126","","1","0","U ","USER_TABLE","11/7/2019 9:59:39 PM","11/7/2019 9:59:39 PM","False","False","False","1","","11","False","True","False","False","False","False","False","0","False","False","0","TABLE","False","False","0","SCHEMA_AND_DATA","0","NON_TEMPORAL_TABLE","","False","False","","","","False","False"
